Fecha;Estacion;DIAS_GRA
01-12-2016;0200E;14.4
01-01-2016;0076;16.1
01-02-2016;0076;16.3
01-03-2016;0076;16.3
01-04-2016;0076;18.3
01-05-2016;0076;21.2
01-06-2016;0076;25.7
01-07-2016;0076;28.5
01-08-2016;0076;28.8
01-09-2016;0076;27.5
01-10-2016;0076;22.1
01-11-2016;0076;18.4
01-12-2016;0076;16.0
01-01-2016;1082;15.9
01-02-2016;1082;13.8
01-03-2016;1082;14.1
01-04-2016;1082;17.2
01-05-2016;1082;21.4
01-06-2016;1082;23.5
01-07-2016;1082;25.2
01-08-2016;1082;27.9
01-09-2016;1082;26.3
01-10-2016;1082;21.3
01-11-2016;1082;15.7
01-12-2016;1082;15.7
01-01-2016;2331;8.7
01-02-2016;2331;8.6
01-03-2016;2331;9.6
01-04-2016;2331;12.4
01-05-2016;2331;18.1
01-06-2016;2331;24.5
01-07-2016;2331;28.7
01-08-2016;2331;28.8
01-09-2016;2331;25.0
01-10-2016;2331;19.6
01-11-2016;2331;10.7
01-12-2016;2331;10.5
01-01-2016;3469A;13.1
01-02-2016;3469A;13.2
01-03-2016;3469A;15.0
01-04-2016;3469A;17.9
01-05-2016;3469A;21.4
01-06-2016;3469A;30.7
01-07-2016;3469A;36.1
01-08-2016;3469A;35.8
01-09-2016;3469A;31.1
01-10-2016;3469A;24.2
01-11-2016;3469A;15.7
01-12-2016;3469A;13.5
01-01-2016;5973;17.4
01-02-2016;5973;16.6
01-03-2016;5973;17.1
01-04-2016;5973;19.5
01-05-2016;5973;22.4
01-06-2016;5973;26.4
01-07-2016;5973;29.0
01-08-2016;5973;0
01-09-2016;5973;27.6
01-10-2016;5973;24.2
01-11-2016;5973;19.3
01-12-2016;5973;17.9
01-01-2016;5960;18.0
01-02-2016;5960;18.0
01-03-2016;5960;19.9
01-04-2016;5960;22.7
01-05-2016;5960;25.9
01-06-2016;5960;32.0
01-07-2016;5960;35.8
01-08-2016;5960;35.7
01-09-2016;5960;33.1
01-10-2016;5960;27.5
01-11-2016;5960;20.0
01-12-2016;5960;18.3
01-01-2016;5910;17.9
01-02-2016;5910;18.0
01-03-2016;5910;18.3
01-04-2016;5910;21.4
01-05-2016;5910;24.3
01-06-2016;5910;28.6
01-07-2016;5910;32.0
01-08-2016;5910;32.5
01-09-2016;5910;30.1
01-10-2016;5910;25.6
01-11-2016;5910;19.6
01-12-2016;5910;18.0
01-01-2016;6001;0
01-02-2016;6001;0
01-03-2016;6001;0
01-04-2016;6001;0
01-05-2016;6001;0
01-06-2016;6001;24.5
01-07-2016;6001;27.9
01-08-2016;6001;27.7
01-09-2016;6001;26.4
01-10-2016;6001;23.4
01-11-2016;6001;0
01-12-2016;6001;18.5
01-01-2016;1111;15.0
01-02-2016;1111;13.5
01-03-2016;1111;13.6
01-04-2016;1111;15.3
01-05-2016;1111;17.6
01-06-2016;1111;20.0
01-07-2016;1111;22.4
01-08-2016;1111;23.6
01-09-2016;1111;22.4
01-10-2016;1111;19.1
01-11-2016;1111;15.0
01-12-2016;1111;15.4
01-01-2016;1109;0
01-02-2016;1109;0
01-03-2016;1109;0
01-04-2016;1109;0
01-05-2016;1109;0
01-06-2016;1109;0
01-07-2016;1109;0
01-08-2016;1109;0
01-09-2016;1109;0
01-10-2016;1109;0
01-11-2016;1109;0
01-12-2016;1109;16.1
01-01-2016;8500A;17.3
01-02-2016;8500A;18.1
01-03-2016;8500A;18.5
01-04-2016;8500A;21.2
01-05-2016;8500A;23.4
01-06-2016;8500A;28.3
01-07-2016;8500A;30.7
01-08-2016;8500A;30.6
01-09-2016;8500A;28.9
01-10-2016;8500A;24.1
01-11-2016;8500A;18.8
01-12-2016;8500A;16.6
01-01-2016;5000C;18.1
01-02-2016;5000C;16.6
01-03-2016;5000C;18.0
01-04-2016;5000C;20.5
01-05-2016;5000C;21.8
01-06-2016;5000C;26.1
01-07-2016;5000C;28.5
01-08-2016;5000C;29.3
01-09-2016;5000C;27.2
01-10-2016;5000C;23.2
01-11-2016;5000C;18.8
01-12-2016;5000C;0
01-01-2016;4121;12.5
01-02-2016;4121;13.0
01-03-2016;4121;16.1
01-04-2016;4121;18.8
01-05-2016;4121;22.9
01-06-2016;4121;31.9
01-07-2016;4121;36.4
01-08-2016;4121;35.0
01-09-2016;4121;30.3
01-10-2016;4121;23.6
01-11-2016;4121;14.7
01-12-2016;4121;10.9
01-01-2016;5402;16.6
01-02-2016;5402;17.2
01-03-2016;5402;19.9
01-04-2016;5402;23.0
01-05-2016;5402;26.5
01-06-2016;5402;35.2
01-07-2016;5402;0
01-08-2016;5402;0
01-09-2016;5402;34.8
01-10-2016;5402;27.4
01-11-2016;5402;0
01-12-2016;5402;17.1
01-01-2016;8096;11.3
01-02-2016;8096;11.6
01-03-2016;8096;13.8
01-04-2016;8096;16.1
01-05-2016;8096;20.9
01-06-2016;8096;29.0
01-07-2016;8096;33.5
01-08-2016;8096;33.0
01-09-2016;8096;28.2
01-10-2016;8096;22.2
01-11-2016;8096;13.5
01-12-2016;8096;13.4
01-01-2016;1014;15.7
01-02-2016;1014;14.0
01-03-2016;1014;14.5
01-04-2016;1014;17.6
01-05-2016;1014;20.5
01-06-2016;1014;22.4
01-07-2016;1014;24.8
01-08-2016;1014;26.6
01-09-2016;1014;25.2
01-10-2016;1014;20.0
01-11-2016;1014;14.8
01-12-2016;1014;15.3
01-01-2016;1024E;14.0
01-02-2016;1024E;11.8
01-03-2016;1024E;12.0
01-04-2016;1024E;14.9
01-05-2016;1024E;18.2
01-06-2016;1024E;20.2
01-07-2016;1024E;21.8
01-08-2016;1024E;24.3
01-09-2016;1024E;22.7
01-10-2016;1024E;18.2
01-11-2016;1024E;13.2
01-12-2016;1024E;13.4
01-01-2016;0367;16.0
01-02-2016;0367;0
01-03-2016;0367;17.5
01-04-2016;0367;0
01-05-2016;0367;22.3
01-06-2016;0367;27.9
01-07-2016;0367;0
01-08-2016;0367;32.4
01-09-2016;0367;29.6
01-10-2016;0367;22.3
01-11-2016;0367;0
01-12-2016;0367;15.7
01-01-2016;5530E;16.8
01-02-2016;5530E;15.6
01-03-2016;5530E;18.2
01-04-2016;5530E;22.0
01-05-2016;5530E;25.8
01-06-2016;5530E;34.2
01-07-2016;5530E;38.2
01-08-2016;5530E;36.9
01-09-2016;5530E;33.3
01-10-2016;5530E;26.9
01-11-2016;5530E;17.4
01-12-2016;5530E;16.7
01-01-2016;5514;15.2
01-02-2016;5514;14.0
01-03-2016;5514;16.4
01-04-2016;5514;20.1
01-05-2016;5514;23.9
01-06-2016;5514;32.1
01-07-2016;5514;36.1
01-08-2016;5514;34.4
01-09-2016;5514;31.1
01-10-2016;5514;25.7
01-11-2016;5514;16.7
01-12-2016;5514;15.2
01-01-2016;3013;9.8
01-02-2016;3013;9.8
01-03-2016;3013;11.3
01-04-2016;3013;14.7
01-05-2016;3013;19.7
01-06-2016;3013;26.6
01-07-2016;3013;31.3
01-08-2016;3013;31.7
01-09-2016;3013;26.4
01-10-2016;3013;21.0
01-11-2016;3013;12.3
01-12-2016;3013;11.5
01-01-2016;4642E;17.7
01-02-2016;4642E;17.7
01-03-2016;4642E;19.4
01-04-2016;4642E;21.5
01-05-2016;4642E;24.4
01-06-2016;4642E;30.8
01-07-2016;4642E;34.3
01-08-2016;4642E;34.8
01-09-2016;4642E;31.6
01-10-2016;4642E;26.3
01-11-2016;4642E;19.6
01-12-2016;4642E;17.8
01-01-2016;9898;11.5
01-02-2016;9898;13.1
01-03-2016;9898;15.1
01-04-2016;9898;18.4
01-05-2016;9898;22.5
01-06-2016;9898;29.5
01-07-2016;9898;33.7
01-08-2016;9898;33.1
01-09-2016;9898;28.4
01-10-2016;9898;20.6
01-11-2016;9898;12.6
01-12-2016;9898;7.4
01-01-2016;5270B;13.7
01-02-2016;5270B;13.6
01-03-2016;5270B;15.3
01-04-2016;5270B;19.2
01-05-2016;5270B;23.3
01-06-2016;5270B;31.7
01-07-2016;5270B;36.4
01-08-2016;5270B;35.5
01-09-2016;5270B;30.7
01-10-2016;5270B;0
01-11-2016;5270B;15.7
01-12-2016;5270B;14.1
01-01-2016;9170;11.3
01-02-2016;9170;12.8
01-03-2016;9170;13.5
01-04-2016;9170;17.6
01-05-2016;9170;22.5
01-06-2016;9170;28.1
01-07-2016;9170;30.7
01-08-2016;9170;31.6
01-09-2016;9170;28.1
01-10-2016;9170;21.9
01-11-2016;9170;14.1
01-12-2016;9170;10.2
01-01-2016;C249I;22.3
01-02-2016;C249I;21.6
01-03-2016;C249I;21.4
01-04-2016;C249I;23.5
01-05-2016;C249I;25.1
01-06-2016;C249I;26.6
01-07-2016;C249I;0
01-08-2016;C249I;28.8
01-09-2016;C249I;27.2
01-10-2016;C249I;26.7
01-11-2016;C249I;23.9
01-12-2016;C249I;22.6
01-01-2016;C649I;22.9
01-02-2016;C649I;21.6
01-03-2016;C649I;21.5
01-04-2016;C649I;22.9
01-05-2016;C649I;0
01-06-2016;C649I;0
01-07-2016;C649I;0
01-08-2016;C649I;0
01-09-2016;C649I;0
01-10-2016;C649I;26.4
01-11-2016;C649I;23.8
01-12-2016;C649I;0
01-01-2016;C029O;23.2
01-02-2016;C029O;0
01-03-2016;C029O;22.1
01-04-2016;C029O;23.8
01-05-2016;C029O;25.3
01-06-2016;C029O;28.2
01-07-2016;C029O;0
01-08-2016;C029O;31.6
01-09-2016;C029O;0
01-10-2016;C029O;0
01-11-2016;C029O;24.3
01-12-2016;C029O;22.3
01-01-2016;2661;7.7
01-02-2016;2661;8.7
01-03-2016;2661;11.1
01-04-2016;2661;12.8
01-05-2016;2661;17.4
01-06-2016;2661;24.4
01-07-2016;2661;29.4
01-08-2016;2661;29.0
01-09-2016;2661;24.5
01-10-2016;2661;18.5
01-11-2016;2661;11.2
01-12-2016;2661;10.3
01-01-2016;1549;10.8
01-02-2016;1549;11.7
01-03-2016;1549;14.5
01-04-2016;1549;16.7
01-05-2016;1549;20.7
01-06-2016;1549;26.8
01-07-2016;1549;32.2
01-08-2016;1549;32.4
01-09-2016;1549;27.8
01-10-2016;1549;21.7
01-11-2016;1549;13.4
01-12-2016;1549;10.3
01-01-2016;9771C;13.2
01-02-2016;9771C;15.0
01-03-2016;9771C;16.7
01-04-2016;9771C;20.9
01-05-2016;9771C;24.9
01-06-2016;9771C;31.1
01-07-2016;9771C;35.1
01-08-2016;9771C;34.2
01-09-2016;9771C;30.1
01-10-2016;9771C;22.3
01-11-2016;9771C;14.6
01-12-2016;9771C;7.3
01-01-2016;1505;11.6
01-02-2016;1505;10.9
01-03-2016;1505;12.9
01-04-2016;1505;14.5
01-05-2016;1505;19.0
01-06-2016;1505;22.8
01-07-2016;1505;25.7
01-08-2016;1505;27.8
01-09-2016;1505;24.6
01-10-2016;1505;19.7
01-11-2016;1505;12.7
01-12-2016;1505;12.6
01-01-2016;3191E;8.8
01-02-2016;3191E;9.9
01-03-2016;3191E;11.7
01-04-2016;3191E;13.4
01-05-2016;3191E;17.7
01-06-2016;3191E;27.0
01-07-2016;3191E;31.8
01-08-2016;3191E;31.1
01-09-2016;3191E;26.7
01-10-2016;3191E;19.6
01-11-2016;3191E;11.3
01-12-2016;3191E;10.8
01-01-2016;3129;12.2
01-02-2016;3129;13.1
01-03-2016;3129;15.5
01-04-2016;3129;17.5
01-05-2016;3129;21.8
01-06-2016;3129;0
01-07-2016;3129;35.5
01-08-2016;3129;34.6
01-09-2016;3129;29.8
01-10-2016;3129;22.7
01-11-2016;3129;13.9
01-12-2016;3129;12.6
01-01-2016;3196;11.5
01-02-2016;3196;12.5
01-03-2016;3196;14.7
01-04-2016;3196;17.1
01-05-2016;3196;21.5
01-06-2016;3196;30.7
01-07-2016;3196;35.6
01-08-2016;3196;34.7
01-09-2016;3196;30.0
01-10-2016;3196;22.8
01-11-2016;3196;14.0
01-12-2016;3196;12.8
01-01-2016;3200;12.0
01-02-2016;3200;12.8
01-03-2016;3200;15.1
01-04-2016;3200;17.4
01-05-2016;3200;21.7
01-06-2016;3200;30.9
01-07-2016;3200;35.4
01-08-2016;3200;34.6
01-09-2016;3200;29.8
01-10-2016;3200;22.8
01-11-2016;3200;14.2
01-12-2016;3200;12.5
01-01-2016;3195;11.5
01-02-2016;3195;12.2
01-03-2016;3195;14.7
01-04-2016;3195;17.1
01-05-2016;3195;21.5
01-06-2016;3195;30.6
01-07-2016;3195;35.1
01-08-2016;3195;34.3
01-09-2016;3195;29.0
01-10-2016;3195;21.4
01-11-2016;3195;13.2
01-12-2016;3195;11.6
01-01-2016;3175;12.2
01-02-2016;3175;12.8
01-03-2016;3175;15.3
01-04-2016;3175;17.3
01-05-2016;3175;21.8
01-06-2016;3175;31.0
01-07-2016;3175;35.8
01-08-2016;3175;35.1
01-09-2016;3175;30.2
01-10-2016;3175;23.3
01-11-2016;3175;14.2
01-12-2016;3175;13.0
01-01-2016;2462;3.9
01-02-2016;2462;2.8
01-03-2016;2462;2.8
01-04-2016;2462;4.9
01-05-2016;2462;10.7
01-06-2016;2462;18.9
01-07-2016;2462;24.8
01-08-2016;2462;25.2
01-09-2016;2462;19.7
01-10-2016;2462;14.2
01-11-2016;2462;4.6
01-12-2016;2462;6.1
01-01-2016;6155A;19.6
01-02-2016;6155A;19.1
01-03-2016;6155A;20.6
01-04-2016;6155A;22.6
01-05-2016;6155A;24.1
01-06-2016;6155A;29.1
01-07-2016;6155A;31.0
01-08-2016;6155A;31.6
01-09-2016;6155A;28.9
01-10-2016;6155A;25.2
01-11-2016;6155A;19.9
01-12-2016;6155A;17.6
01-01-2016;6000A;18.7
01-02-2016;6000A;17.7
01-03-2016;6000A;18.1
01-04-2016;6000A;20.9
01-05-2016;6000A;22.7
01-06-2016;6000A;26.4
01-07-2016;6000A;28.1
01-08-2016;6000A;29.4
01-09-2016;6000A;27.6
01-10-2016;6000A;24.6
01-11-2016;6000A;20.0
01-12-2016;6000A;17.1
01-01-2016;7178I;19.5
01-02-2016;7178I;20.1
01-03-2016;7178I;21.5
01-04-2016;7178I;24.4
01-05-2016;7178I;27.3
01-06-2016;7178I;33.0
01-07-2016;7178I;34.9
01-08-2016;7178I;34.1
01-09-2016;7178I;32.7
01-10-2016;7178I;27.5
01-11-2016;7178I;21.2
01-12-2016;7178I;17.2
01-01-2016;7228;19.1
01-02-2016;7228;19.5
01-03-2016;7228;21.1
01-04-2016;7228;24.0
01-05-2016;7228;26.9
01-06-2016;7228;32.7
01-07-2016;7228;34.4
01-08-2016;7228;33.6
01-09-2016;7228;32.4
01-10-2016;7228;26.9
01-11-2016;7228;20.6
01-12-2016;7228;16.5
01-01-2016;7031;18.0
01-02-2016;7031;18.0
01-03-2016;7031;18.9
01-04-2016;7031;21.0
01-05-2016;7031;22.7
01-06-2016;7031;26.8
01-07-2016;7031;28.5
01-08-2016;7031;29.1
01-09-2016;7031;28.1
01-10-2016;7031;25.1
01-11-2016;7031;20.2
01-12-2016;7031;16.6
01-01-2016;9262;10.7
01-02-2016;9262;11.4
01-03-2016;9262;11.6
01-04-2016;9262;15.5
01-05-2016;9262;20.3
01-06-2016;9262;24.5
01-07-2016;9262;27.9
01-08-2016;9262;29.3
01-09-2016;9262;26.3
01-10-2016;9262;20.0
01-11-2016;9262;12.9
01-12-2016;9262;10.2
01-01-2016;9263D;10.6
01-02-2016;9263D;11.4
01-03-2016;9263D;12.0
01-04-2016;9263D;16.2
01-05-2016;9263D;20.9
01-06-2016;9263D;25.5
01-07-2016;9263D;0
01-08-2016;9263D;30.6
01-09-2016;9263D;0
01-10-2016;9263D;0
01-11-2016;9263D;12.9
01-12-2016;9263D;9.8
01-01-2016;1690A;14.2
01-02-2016;1690A;14.2
01-03-2016;1690A;17.0
01-04-2016;1690A;19.0
01-05-2016;1690A;22.6
01-06-2016;1690A;27.8
01-07-2016;1690A;33.4
01-08-2016;1690A;33.8
01-09-2016;1690A;29.6
01-10-2016;1690A;23.7
01-11-2016;1690A;14.9
01-12-2016;1690A;13.9
01-01-2016;1484C;13.3
01-02-2016;1484C;12.6
01-03-2016;1484C;14.1
01-04-2016;1484C;16.4
01-05-2016;1484C;19.3
01-06-2016;1484C;22.8
01-07-2016;1484C;28.3
01-08-2016;1484C;27.4
01-09-2016;1484C;23.8
01-10-2016;1484C;20.3
01-11-2016;1484C;14.8
01-12-2016;1484C;14.8
01-01-2016;1495;13.3
01-02-2016;1495;0
01-03-2016;1495;14.6
01-04-2016;1495;0
01-05-2016;1495;18.8
01-06-2016;1495;22.8
01-07-2016;1495;29.3
01-08-2016;1495;0
01-09-2016;1495;25.1
01-10-2016;1495;20.8
01-11-2016;1495;0
01-12-2016;1495;14.9
01-01-2016;2867;0
01-02-2016;2867;10.4
01-03-2016;2867;12.8
01-04-2016;2867;15.0
01-05-2016;2867;19.9
01-06-2016;2867;27.5
01-07-2016;2867;32.4
01-08-2016;2867;32.2
01-09-2016;2867;27.9
01-10-2016;2867;0
01-11-2016;2867;12.8
01-12-2016;2867;10.5
01-01-2016;2870;12.0
01-02-2016;2870;11.4
01-03-2016;2870;13.6
01-04-2016;2870;15.8
01-05-2016;2870;20.4
01-06-2016;2870;28.0
01-07-2016;2870;0
01-08-2016;2870;0
01-09-2016;2870;0
01-10-2016;2870;22.2
01-11-2016;2870;13.6
01-12-2016;2870;11.3
01-01-2016;C929I;22.6
01-02-2016;C929I;20.7
01-03-2016;C929I;20.6
01-04-2016;C929I;22.3
01-05-2016;C929I;22.9
01-06-2016;C929I;24.7
01-07-2016;C929I;0
01-08-2016;C929I;26.4
01-09-2016;C929I;26.1
01-10-2016;C929I;25.8
01-11-2016;C929I;23.5
01-12-2016;C929I;22.8
01-01-2016;C430E;11.9
01-02-2016;C430E;9.0
01-03-2016;C430E;9.7
01-04-2016;C430E;12.9
01-05-2016;C430E;13.7
01-06-2016;C430E;19.0
01-07-2016;C430E;23.6
01-08-2016;C430E;23.2
01-09-2016;C430E;19.8
01-10-2016;C430E;14.2
01-11-2016;C430E;9.5
01-12-2016;C430E;8.2
01-01-2016;C139E;0
01-02-2016;C139E;20.9
01-03-2016;C139E;20.6
01-04-2016;C139E;22.2
01-05-2016;C139E;22.6
01-06-2016;C139E;0
01-07-2016;C139E;0
01-08-2016;C139E;0
01-09-2016;C139E;0
01-10-2016;C139E;25.9
01-11-2016;C139E;0
01-12-2016;C139E;0
01-01-2016;C449C;22.5
01-02-2016;C449C;21.4
01-03-2016;C449C;21.0
01-04-2016;C449C;22.8
01-05-2016;C449C;24.0
01-06-2016;C449C;27.5
01-07-2016;C449C;29.9
01-08-2016;C449C;30.1
01-09-2016;C449C;28.4
01-10-2016;C449C;26.8
01-11-2016;C449C;23.7
01-12-2016;C449C;22.7
01-01-2016;C447A;18.9
01-02-2016;C447A;16.4
01-03-2016;C447A;16.2
01-04-2016;C447A;17.1
01-05-2016;C447A;18.4
01-06-2016;C447A;22.9
01-07-2016;C447A;25.2
01-08-2016;C447A;27.8
01-09-2016;C447A;0
01-10-2016;C447A;0
01-11-2016;C447A;18.5
01-12-2016;C447A;0
01-01-2016;C429I;24.5
01-02-2016;C429I;23.3
01-03-2016;C429I;0
01-04-2016;C429I;0
01-05-2016;C429I;25.2
01-06-2016;C429I;0
01-07-2016;C429I;0
01-08-2016;C429I;30.8
01-09-2016;C429I;0
01-10-2016;C429I;28.0
01-11-2016;C429I;0
01-12-2016;C429I;0
01-01-2016;2465;10.2
01-02-2016;2465;9.0
01-03-2016;2465;10.4
01-04-2016;2465;13.5
01-05-2016;2465;18.2
01-06-2016;2465;26.0
01-07-2016;2465;31.1
01-08-2016;2465;31.1
01-09-2016;2465;26.1
01-10-2016;2465;20.6
01-11-2016;2465;11.4
01-12-2016;2465;11.1
01-01-2016;5796;16.9
01-02-2016;5796;17.2
01-03-2016;5796;19.1
01-04-2016;5796;21.7
01-05-2016;5796;25.3
01-06-2016;5796;0
01-07-2016;5796;37.2
01-08-2016;5796;37.0
01-09-2016;5796;33.2
01-10-2016;5796;27.4
01-11-2016;5796;19.1
01-12-2016;5796;18.1
01-01-2016;5783;17.2
01-02-2016;5783;18.1
01-03-2016;5783;20.1
01-04-2016;5783;22.4
01-05-2016;5783;26.0
01-06-2016;5783;33.9
01-07-2016;5783;37.7
01-08-2016;5783;37.7
01-09-2016;5783;33.7
01-10-2016;5783;27.4
01-11-2016;5783;19.5
01-12-2016;5783;17.5
01-01-2016;2030;8.9
01-02-2016;2030;8.8
01-03-2016;2030;9.8
01-04-2016;2030;13.1
01-05-2016;2030;18.1
01-06-2016;2030;25.3
01-07-2016;2030;29.6
01-08-2016;2030;29.8
01-09-2016;2030;25.1
01-10-2016;2030;20.2
01-11-2016;2030;10.9
01-12-2016;2030;11.6
01-01-2016;0016A;17.0
01-02-2016;0016A;18.2
01-03-2016;0016A;18.6
01-04-2016;0016A;20.9
01-05-2016;0016A;24.4
01-06-2016;0016A;0
01-07-2016;0016A;0
01-08-2016;0016A;0
01-09-2016;0016A;0
01-10-2016;0016A;23.9
01-11-2016;0016A;18.4
01-12-2016;0016A;16.4
01-01-2016;9981A;17.5
01-02-2016;9981A;18.7
01-03-2016;9981A;18.9
01-04-2016;9981A;21.8
01-05-2016;9981A;25.0
01-06-2016;9981A;31.3
01-07-2016;9981A;34.2
01-08-2016;9981A;34.2
01-09-2016;9981A;31.2
