FECHA;INDICATIVO;TEMP_MIN
01-12-2016;9091O;-3.2(30)
01-01-2016;1212E;3.7(16)
01-02-2016;1212E;0
01-03-2016;1212E;1.8(13)
01-04-2016;1212E;4.0(01)
01-05-2016;1212E;0
01-06-2016;1212E;10.1(01)
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;0
01-11-2016;1212E;3.3(25)
01-12-2016;1212E;0
01-01-2016;1208H;5.6(16)
01-02-2016;1208H;2.9(17)
01-03-2016;1208H;5.1(01)
01-04-2016;1208H;6.2(01)
01-05-2016;1208H;7.2(01)
01-06-2016;1208H;12.2(01)
01-07-2016;1208H;14.4(03)
01-08-2016;1208H;16.3(10)
01-09-2016;1208H;13.3(14)
01-10-2016;1208H;10.4(21)
01-11-2016;1208H;5.8(24)
01-12-2016;1208H;3.0(31)
01-01-2016;1249I;1.8(16)
01-02-2016;1249I;0.2(17)
01-03-2016;1249I;1.0(01)
01-04-2016;1249I;3.0(01)
01-05-2016;1249I;3.3(01)
01-06-2016;1249I;9.2(01)
01-07-2016;1249I;9.9(14)
01-08-2016;1249I;10.5(11)
01-09-2016;1249I;10.9(14)
01-10-2016;1249I;7.5(10)
01-11-2016;1249I;2.3(25)
01-12-2016;1249I;-0.2(31)
01-01-2016;2444;-4.6(17)
01-02-2016;2444;-6.6(17)
01-03-2016;2444;-4.2(12)
01-04-2016;2444;-1.5(01)
01-05-2016;2444;-0.3(01)
01-06-2016;2444;5.8(01)
01-07-2016;2444;9.1(14)
01-08-2016;2444;9.4(11)
01-09-2016;2444;6.3(18)
01-10-2016;2444;3.3(31)
01-11-2016;2444;-1.3(15)
01-12-2016;2444;-4.1(31)
01-01-2016;4452;0.7(17)
01-02-2016;4452;-0.1(17)
01-03-2016;4452;0.2(12)
01-04-2016;4452;3.7(02)
01-05-2016;4452;8.0(02)
01-06-2016;4452;11.9(17)
01-07-2016;4452;15.4(02)
01-08-2016;4452;15.2(21)
01-09-2016;4452;11.0(23)
01-10-2016;4452;8.3(15)
01-11-2016;4452;2.6(16)
01-12-2016;4452;-1.0(20)
01-01-2016;B954;1.3(17)
01-02-2016;B954;2.5(17)
01-03-2016;B954;3.8(13)
01-04-2016;B954;6.5(09)
01-05-2016;B954;8.1(02)
01-06-2016;B954;0
01-07-2016;B954;16.2(16)
01-08-2016;B954;17.7(26)
01-09-2016;B954;14.4(19)
01-10-2016;B954;0
01-11-2016;B954;5.8(25)
01-12-2016;B954;5.9(31)
01-01-2016;B893;4.4(17)
01-02-2016;B893;3.6(20)
01-03-2016;B893;3.4(06)
01-04-2016;B893;6.5(08)
01-05-2016;B893;0
01-06-2016;B893;12.9(03)
01-07-2016;B893;0
01-08-2016;B893;15.6(13)
01-09-2016;B893;14.9(18)
01-10-2016;B893;10.2(30)
01-11-2016;B893;4.8(08)
01-12-2016;B893;0
01-01-2016;B228;6.5(18)
01-02-2016;B228;5.5(17)
01-03-2016;B228;6.3(13)
01-04-2016;B228;8.5(08)
01-05-2016;B228;10.0(01)
01-06-2016;B228;15.5(02)
01-07-2016;B228;19.3(17)
01-08-2016;B228;20.1(24)
01-09-2016;B228;0
01-10-2016;B228;13.3(30)
01-11-2016;B228;9.0(08)
01-12-2016;B228;7.1(30)
01-01-2016;B278;-1.5(17)
01-02-2016;B278;-0.1(17)
01-03-2016;B278;0.3(09)
01-04-2016;B278;5.6(09)
01-05-2016;B278;4.6(02)
01-06-2016;B278;10.8(02)
01-07-2016;B278;14.4(19)
01-08-2016;B278;14.9(12)
01-09-2016;B278;11.9(19)
01-10-2016;B278;8.2(30)
01-11-2016;B278;5.1(25)
01-12-2016;B278;2.3(30)
01-01-2016;0200E;1.1(16)
01-02-2016;0200E;0.6(17)
01-03-2016;0200E;2.9(10)
01-04-2016;0200E;5.1(09)
01-05-2016;0200E;6.2(01)
01-06-2016;0200E;10.6(18)
01-07-2016;0200E;15.6(14)
01-08-2016;0200E;15.9(11)
01-09-2016;0200E;13.2(18)
01-10-2016;0200E;9.4(21)
01-11-2016;0200E;3.7(08)
01-12-2016;0200E;6.3(20)
01-01-2016;0076;1.4(17)
01-02-2016;0076;2.8(17)
01-03-2016;0076;3.7(10)
01-04-2016;0076;8.4(08)
01-05-2016;0076;8.0(01)
01-06-2016;0076;12.9(18)
01-07-2016;0076;18.3(14)
01-08-2016;0076;19.8(14)
01-09-2016;0076;14.9(15)
01-10-2016;0076;12.4(30)
01-11-2016;0076;6.0(08)
01-12-2016;0076;4.1(03)
01-01-2016;1082;0.6(17)
01-02-2016;1082;-1.8(17)
01-03-2016;1082;2.3(15)
01-04-2016;1082;1.4(02)
01-05-2016;1082;2.7(02)
01-06-2016;1082;10.4(20)
01-07-2016;1082;10.1(15)
01-08-2016;1082;11.5(12)
01-09-2016;1082;10.8(21)
01-10-2016;1082;4.4(21)
01-11-2016;1082;3.0(25)
01-12-2016;1082;-0.8(31)
01-01-2016;2331;-4.0(17)
01-02-2016;2331;-8.2(17)
01-03-2016;2331;-5.0(14)
01-04-2016;2331;-4.5(02)
01-05-2016;2331;-1.1(02)
01-06-2016;2331;1.5(01)
01-07-2016;2331;5.9(14)
01-08-2016;2331;7.9(10)
01-09-2016;2331;3.9(19)
01-10-2016;2331;-0.7(31)
01-11-2016;2331;-2.8(07)
01-12-2016;2331;-8.2(31)
01-01-2016;3469A;-0.3(17)
01-02-2016;3469A;-1.8(17)
01-03-2016;3469A;0.4(14)
01-04-2016;3469A;2.5(01)
01-05-2016;3469A;6.2(01)
01-06-2016;3469A;10.3(16)
01-07-2016;3469A;16.5(13)
01-08-2016;3469A;14.5(21)
01-09-2016;3469A;10.9(23)
01-10-2016;3469A;8.4(31)
01-11-2016;3469A;3.6(16)
01-12-2016;3469A;-0.6(27)
01-01-2016;5973;7.9(17)
01-02-2016;5973;5.3(17)
01-03-2016;5973;7.6(09)
01-04-2016;5973;10.1(01)
01-05-2016;5973;12.4(10)
01-06-2016;5973;17.3(17)
01-07-2016;5973;20.6(01)
01-08-2016;5973;0
01-09-2016;5973;17.6(15)
01-10-2016;5973;14.6(15)
01-11-2016;5973;9.0(08)
01-12-2016;5973;8.3(21)
01-01-2016;5960;1.6(17)
01-02-2016;5960;-2.4(17)
01-03-2016;5960;0.0(12)
01-04-2016;5960;3.7(01)
01-05-2016;5960;10.3(13)
01-06-2016;5960;11.4(17)
01-07-2016;5960;15.7(01)
01-08-2016;5960;14.3(21)
01-09-2016;5960;10.4(15)
01-10-2016;5960;9.3(11)
01-11-2016;5960;3.7(08)
01-12-2016;5960;2.1(21)
01-01-2016;5910;2.8(17)
01-02-2016;5910;0.8(17)
01-03-2016;5910;2.5(12)
01-04-2016;5910;5.3(01)
01-05-2016;5910;10.2(03)
01-06-2016;5910;14.0(06)
01-07-2016;5910;17.4(01)
01-08-2016;5910;15.8(21)
01-09-2016;5910;12.7(23)
01-10-2016;5910;10.6(15)
01-11-2016;5910;5.7(08)
01-12-2016;5910;4.0(21)
01-01-2016;6001;0
01-02-2016;6001;0
01-03-2016;6001;0
01-04-2016;6001;0
01-05-2016;6001;0
01-06-2016;6001;15.3(18)
01-07-2016;6001;19.4(05)
01-08-2016;6001;19.9(31)
01-09-2016;6001;14.0(15)
01-10-2016;6001;11.9(15)
01-11-2016;6001;0
01-12-2016;6001;9.7(16)
01-01-2016;1111;5.5(17)
01-02-2016;1111;2.0(17)
01-03-2016;1111;4.5(15)
01-04-2016;1111;4.5(02)
01-05-2016;1111;5.5(03)
01-06-2016;1111;11.5(18)
01-07-2016;1111;13.6(14)
01-08-2016;1111;15.0(12)
01-09-2016;1111;13.0(15)
01-10-2016;1111;9.5(21)
01-11-2016;1111;6.2(26)
01-12-2016;1111;5.5(31)
01-01-2016;1109;0
01-02-2016;1109;0
01-03-2016;1109;0
01-04-2016;1109;0
01-05-2016;1109;0
01-06-2016;1109;0
01-07-2016;1109;0
01-08-2016;1109;0
01-09-2016;1109;0
01-10-2016;1109;0
01-11-2016;1109;0
01-12-2016;1109;3.0(19)
01-01-2016;8500A;3.5(17)
01-02-2016;8500A;3.4(17)
01-03-2016;8500A;5.1(06)
01-04-2016;8500A;7.7(02)
01-05-2016;8500A;9.3(02)
01-06-2016;8500A;14.9(19)
01-07-2016;8500A;18.2(17)
01-08-2016;8500A;18.5(11)
01-09-2016;8500A;15.0(15)
01-10-2016;8500A;11.6(30)
01-11-2016;8500A;6.0(25)
01-12-2016;8500A;4.1(30)
01-01-2016;5000C;9.6(16)
01-02-2016;5000C;7.2(16)
01-03-2016;5000C;9.0(12)
01-04-2016;5000C;11.8(05)
01-05-2016;5000C;12.0(11)
01-06-2016;5000C;16.0(06)
01-07-2016;5000C;19.0(28)
01-08-2016;5000C;20.1(31)
01-09-2016;5000C;17.4(23)
01-10-2016;5000C;14.7(15)
01-11-2016;5000C;9.0(24)
01-12-2016;5000C;0
01-01-2016;4121;-2.9(17)
01-02-2016;4121;-3.1(17)
01-03-2016;4121;-0.7(01)
01-04-2016;4121;1.6(02)
01-05-2016;4121;4.7(01)
01-06-2016;4121;10.9(16)
01-07-2016;4121;17.8(17)
01-08-2016;4121;16.7(11)
01-09-2016;4121;10.8(16)
01-10-2016;4121;5.9(15)
01-11-2016;4121;0.7(16)
01-12-2016;4121;-3.0(31)
01-01-2016;5402;1.1(17)
01-02-2016;5402;-2.0(17)
01-03-2016;5402;-0.1(09)
01-04-2016;5402;1.4(01)
01-05-2016;5402;6.3(03)
01-06-2016;5402;12.3(02)
01-07-2016;5402;0
01-08-2016;5402;0
01-09-2016;5402;10.3(15)
01-10-2016;5402;8.8(31)
01-11-2016;5402;0
01-12-2016;5402;0.0(31)
01-01-2016;8096;-4.0(17)
01-02-2016;8096;-6.1(17)
01-03-2016;8096;-3.3(12)
01-04-2016;8096;-0.3(02)
01-05-2016;8096;0.2(02)
01-06-2016;8096;6.7(01)
01-07-2016;8096;12.2(15)
01-08-2016;8096;13.3(11)
01-09-2016;8096;6.0(15)
01-10-2016;8096;4.2(31)
01-11-2016;8096;-1.1(16)
01-12-2016;8096;-5.2(31)
01-01-2016;1014;2.3(21)
01-02-2016;1014;-1.2(17)
01-03-2016;1014;2.6(15)
01-04-2016;1014;4.4(02)
01-05-2016;1014;5.8(02)
01-06-2016;1014;11.5(16)
01-07-2016;1014;11.8(15)
01-08-2016;1014;13.9(12)
01-09-2016;1014;12.5(15)
01-10-2016;1014;6.4(11)
01-11-2016;1014;3.4(26)
01-12-2016;1014;0.2(31)
01-01-2016;1024E;2.1(16)
01-02-2016;1024E;0.3(17)
01-03-2016;1024E;2.6(08)
01-04-2016;1024E;4.0(02)
01-05-2016;1024E;5.5(02)
01-06-2016;1024E;11.0(15)
01-07-2016;1024E;12.5(15)
01-08-2016;1024E;13.7(22)
01-09-2016;1024E;11.9(14)
01-10-2016;1024E;6.9(11)
01-11-2016;1024E;3.5(23)
01-12-2016;1024E;3.0(31)
01-01-2016;0367;-6.3(17)
01-02-2016;0367;0
01-03-2016;0367;-2.2(09)
01-04-2016;0367;0
01-05-2016;0367;2.7(01)
01-06-2016;0367;8.1(19)
01-07-2016;0367;0
01-08-2016;0367;13.4(24)
01-09-2016;0367;9.3(29)
01-10-2016;0367;5.9(29)
01-11-2016;0367;0
01-12-2016;0367;-2.5(29)
01-01-2016;5530E;-4.2(17)
01-02-2016;5530E;-4.0(17)
01-03-2016;5530E;-2.7(09)
01-04-2016;5530E;-1.1(02)
01-05-2016;5530E;5.1(11)
01-06-2016;5530E;9.4(18)
01-07-2016;5530E;15.6(23)
01-08-2016;5530E;13.6(09)
01-09-2016;5530E;6.8(15)
01-10-2016;5530E;3.8(31)
01-11-2016;5530E;-1.3(17)
01-12-2016;5530E;-3.4(31)
01-01-2016;5514;-3.4(17)
01-02-2016;5514;-4.0(17)
01-03-2016;5514;-2.0(12)
01-04-2016;5514;0.2(02)
01-05-2016;5514;5.8(11)
01-06-2016;5514;9.8(17)
01-07-2016;5514;16.5(08)
01-08-2016;5514;15.4(25)
01-09-2016;5514;8.0(15)
01-10-2016;5514;5.2(31)
01-11-2016;5514;-0.4(08)
01-12-2016;5514;-2.1(31)
01-01-2016;3013;-7.4(17)
01-02-2016;3013;-9.3(17)
01-03-2016;3013;-6.8(13)
01-04-2016;3013;-5.1(02)
01-05-2016;3013;-4.1(02)
01-06-2016;3013;-0.1(01)
01-07-2016;3013;4.3(15)
01-08-2016;3013;5.1(11)
01-09-2016;3013;1.6(19)
01-10-2016;3013;-2.1(31)
01-11-2016;3013;-5.3(15)
01-12-2016;3013;-11.0(30)
01-01-2016;4642E;4.5(16)
01-02-2016;4642E;0.6(17)
01-03-2016;4642E;3.3(12)
01-04-2016;4642E;5.3(02)
01-05-2016;4642E;10.3(13)
01-06-2016;4642E;13.5(04)
01-07-2016;4642E;17.2(01)
01-08-2016;4642E;17.8(02)
01-09-2016;4642E;13.8(15)
01-10-2016;4642E;8.7(15)
01-11-2016;4642E;3.9(24)
01-12-2016;4642E;2.9(21)
01-01-2016;9898;-1.7(17)
01-02-2016;9898;-3.9(17)
01-03-2016;9898;-1.3(13)
01-04-2016;9898;1.5(02)
01-05-2016;9898;1.2(02)
01-06-2016;9898;7.7(01)
01-07-2016;9898;10.1(15)
01-08-2016;9898;9.4(11)
01-09-2016;9898;8.9(18)
01-10-2016;9898;2.4(21)
01-11-2016;9898;0.5(25)
01-12-2016;9898;-4.0(30)
01-01-2016;5270B;0.0(17)
01-02-2016;5270B;-0.2(17)
01-03-2016;5270B;2.8(12)
01-04-2016;5270B;5.0(01)
01-05-2016;5270B;8.2(11)
01-06-2016;5270B;12.9(04)
01-07-2016;5270B;18.6(08)
01-08-2016;5270B;18.4(11)
01-09-2016;5270B;12.1(15)
01-10-2016;5270B;0
01-11-2016;5270B;3.3(08)
01-12-2016;5270B;3.0(31)
01-01-2016;9170;-1.6(21)
01-02-2016;9170;-3.0(06)
01-03-2016;9170;0.4(15)
01-04-2016;9170;-0.9(02)
01-05-2016;9170;3.6(02)
01-06-2016;9170;8.9(01)
01-07-2016;9170;10.4(15)
01-08-2016;9170;11.3(21)
01-09-2016;9170;8.4(29)
01-10-2016;9170;2.9(15)
01-11-2016;9170;0.5(25)
01-12-2016;9170;-1.1(29)
01-01-2016;C249I;14.0(10)
01-02-2016;C249I;9.6(19)
01-03-2016;C249I;12.5(14)
01-04-2016;C249I;13.9(12)
01-05-2016;C249I;15.9(26)
01-06-2016;C249I;17.0(02)
01-07-2016;C249I;0
01-08-2016;C249I;20.3(18)
01-09-2016;C249I;20.2(20)
01-10-2016;C249I;18.5(26)
01-11-2016;C249I;13.0(25)
01-12-2016;C249I;13.6(14)
01-01-2016;C649I;15.2(09)
01-02-2016;C649I;9.7(19)
01-03-2016;C649I;14.0(24)
01-04-2016;C649I;15.1(20)
01-05-2016;C649I;0
01-06-2016;C649I;0
01-07-2016;C649I;0
01-08-2016;C649I;0
01-09-2016;C649I;0
01-10-2016;C649I;17.8(26)
01-11-2016;C649I;15.2(25)
01-12-2016;C649I;0
01-01-2016;C029O;12.0(10)
01-02-2016;C029O;0
01-03-2016;C029O;12.0(14)
01-04-2016;C029O;12.8(03)
01-05-2016;C029O;15.0(26)
01-06-2016;C029O;17.2(02)
01-07-2016;C029O;0
01-08-2016;C029O;20.7(03)
01-09-2016;C029O;0
01-10-2016;C029O;0
01-11-2016;C029O;13.0(24)
01-12-2016;C029O;13.1(20)
01-01-2016;2661;-3.0(16)
01-02-2016;2661;-5.2(17)
01-03-2016;2661;-4.6(14)
01-04-2016;2661;-2.0(01)
01-05-2016;2661;-1.2(01)
01-06-2016;2661;4.2(01)
01-07-2016;2661;6.4(13)
01-08-2016;2661;5.8(11)
01-09-2016;2661;5.2(18)
01-10-2016;2661;4.2(11)
01-11-2016;2661;-3.2(22)
01-12-2016;2661;-5.0(31)
01-01-2016;1549;-3.1(16)
01-02-2016;1549;-2.8(19)
01-03-2016;1549;-1.4(01)
01-04-2016;1549;-0.9(01)
01-05-2016;1549;1.8(01)
01-06-2016;1549;8.0(01)
01-07-2016;1549;10.0(13)
01-08-2016;1549;10.4(21)
01-09-2016;1549;7.5(18)
01-10-2016;1549;4.6(31)
01-11-2016;1549;-0.4(23)
01-12-2016;1549;-5.9(30)
01-01-2016;9771C;-4.1(17)
01-02-2016;9771C;-3.3(17)
01-03-2016;9771C;-0.7(13)
01-04-2016;9771C;3.3(25)
01-05-2016;9771C;3.0(02)
01-06-2016;9771C;10.0(01)
01-07-2016;9771C;11.9(15)
01-08-2016;9771C;12.9(11)
01-09-2016;9771C;9.4(18)
01-10-2016;9771C;4.8(21)
01-11-2016;9771C;0.5(08)
01-12-2016;9771C;-1.6(22)
01-01-2016;1505;-2.7(16)
01-02-2016;1505;-2.4(05)
01-03-2016;1505;-2.4(01)
01-04-2016;1505;-1.7(01)
01-05-2016;1505;-0.6(01)
01-06-2016;1505;4.6(01)
01-07-2016;1505;6.7(13)
01-08-2016;1505;6.2(21)
01-09-2016;1505;5.8(18)
01-10-2016;1505;3.9(10)
01-11-2016;1505;-2.4(30)
01-12-2016;1505;-6.0(31)
01-01-2016;3191E;-1.6(17)
01-02-2016;3191E;-4.4(17)
01-03-2016;3191E;-1.6(14)
01-04-2016;3191E;0.7(01)
01-05-2016;3191E;1.5(01)
01-06-2016;3191E;7.5(16)
01-07-2016;3191E;9.1(14)
01-08-2016;3191E;13.3(11)
01-09-2016;3191E;8.5(19)
01-10-2016;3191E;6.2(15)
01-11-2016;3191E;1.0(24)
01-12-2016;3191E;-0.2(31)
01-01-2016;3129;-4.1(17)
01-02-2016;3129;-5.5(17)
01-03-2016;3129;-2.2(12)
01-04-2016;3129;-0.2(02)
01-05-2016;3129;2.6(02)
01-06-2016;3129;0
01-07-2016;3129;12.5(14)
01-08-2016;3129;15.1(11)
01-09-2016;3129;9.0(19)
01-10-2016;3129;3.3(31)
01-11-2016;3129;-0.5(16)
01-12-2016;3129;-5.6(31)
01-01-2016;3196;-2.0(17)
01-02-2016;3196;-4.0(17)
01-03-2016;3196;-0.2(01)
01-04-2016;3196;1.6(01)
01-05-2016;3196;4.0(02)
01-06-2016;3196;9.0(16)
01-07-2016;3196;12.5(14)
01-08-2016;3196;16.2(11)
01-09-2016;3196;10.2(15)
01-10-2016;3196;7.2(15)
01-11-2016;3196;2.2(11)
01-12-2016;3196;-4.5(31)
01-01-2016;3200;-2.6(17)
01-02-2016;3200;-4.4(17)
01-03-2016;3200;0.4(01)
01-04-2016;3200;2.4(02)
01-05-2016;3200;4.4(02)
01-06-2016;3200;10.4(16)
01-07-2016;3200;14.3(15)
01-08-2016;3200;17.0(10)
01-09-2016;3200;8.8(15)
01-10-2016;3200;7.2(31)
01-11-2016;3200;1.8(11)
01-12-2016;3200;-3.6(31)
01-01-2016;3195;-0.9(17)
01-02-2016;3195;-2.5(17)
01-03-2016;3195;1.5(12)
01-04-2016;3195;3.5(02)
01-05-2016;3195;4.5(01)
01-06-2016;3195;10.8(16)
01-07-2016;3195;13.0(14)
01-08-2016;3195;15.9(11)
01-09-2016;3195;10.5(15)
01-10-2016;3195;8.0(15)
01-11-2016;3195;2.2(08)
01-12-2016;3195;-2.4(31)
01-01-2016;3175;-4.9(17)
01-02-2016;3175;-6.1(17)
01-03-2016;3175;-3.4(12)
01-04-2016;3175;-1.6(02)
01-05-2016;3175;0.5(02)
01-06-2016;3175;6.6(02)
01-07-2016;3175;11.9(14)
01-08-2016;3175;14.2(15)
01-09-2016;3175;7.3(19)
01-10-2016;3175;2.5(31)
01-11-2016;3175;-0.6(16)
01-12-2016;3175;-6.8(31)
01-01-2016;2462;-7.8(16)
01-02-2016;2462;-11.3(17)
01-03-2016;2462;-7.2(08)
01-04-2016;2462;-7.5(01)
01-05-2016;2462;-2.5(01)
01-06-2016;2462;1.1(16)
01-07-2016;2462;8.0(14)
01-08-2016;2462;9.9(11)
01-09-2016;2462;0.5(14)
01-10-2016;2462;1.5(15)
01-11-2016;2462;-5.1(08)
01-12-2016;2462;-4.4(20)
01-01-2016;6155A;5.3(14)
01-02-2016;6155A;2.9(17)
01-03-2016;6155A;4.9(12)
01-04-2016;6155A;7.8(02)
01-05-2016;6155A;10.9(03)
01-06-2016;6155A;14.6(01)
01-07-2016;6155A;20.0(17)
01-08-2016;6155A;19.8(09)
01-09-2016;6155A;15.4(18)
01-10-2016;6155A;12.7(15)
01-11-2016;6155A;6.8(24)
01-12-2016;6155A;5.2(27)
01-01-2016;6000A;8.8(17)
01-02-2016;6000A;7.8(17)
01-03-2016;6000A;8.4(12)
01-04-2016;6000A;9.0(02)
01-05-2016;6000A;13.8(12)
01-06-2016;6000A;16.8(01)
01-07-2016;6000A;21.0(17)
01-08-2016;6000A;21.2(28)
01-09-2016;6000A;18.0(17)
01-10-2016;6000A;16.0(15)
01-11-2016;6000A;9.4(18)
01-12-2016;6000A;8.8(27)
01-01-2016;7178I;1.7(17)
01-02-2016;7178I;1.0(17)
01-03-2016;7178I;4.2(09)
01-04-2016;7178I;6.2(02)
01-05-2016;7178I;8.6(02)
01-06-2016;7178I;15.6(02)
01-07-2016;7178I;18.4(17)
01-08-2016;7178I;18.7(13)
01-09-2016;7178I;14.5(16)
01-10-2016;7178I;10.4(30)
01-11-2016;7178I;4.6(24)
01-12-2016;7178I;4.0(24)
01-01-2016;7228;1.0(17)
01-02-2016;7228;-0.6(17)
01-03-2016;7228;2.0(13)
01-04-2016;7228;5.1(02)
01-05-2016;7228;6.0(02)
01-06-2016;7228;14.4(01)
01-07-2016;7228;16.9(17)
01-08-2016;7228;16.4(13)
01-09-2016;7228;13.5(15)
01-10-2016;7228;8.7(30)
01-11-2016;7228;2.5(25)
01-12-2016;7228;2.7(25)
01-01-2016;7031;1.2(17)
01-02-2016;7031;1.0(17)
01-03-2016;7031;3.2(12)
01-04-2016;7031;7.8(02)
01-05-2016;7031;7.5(02)
01-06-2016;7031;15.5(01)
01-07-2016;7031;19.4(05)
01-08-2016;7031;18.0(09)
01-09-2016;7031;14.0(16)
01-10-2016;7031;10.5(30)
01-11-2016;7031;3.6(25)
01-12-2016;7031;4.0(26)
01-01-2016;9262;-0.6(21)
01-02-2016;9262;-1.8(17)
01-03-2016;9262;0.1(17)
01-04-2016;9262;0.8(02)
01-05-2016;9262;4.9(01)
01-06-2016;9262;9.0(17)
01-07-2016;9262;11.4(15)
01-08-2016;9262;10.8(12)
01-09-2016;9262;10.2(21)
01-10-2016;9262;3.7(11)
01-11-2016;9262;0.3(25)
01-12-2016;9262;-3.8(29)
01-01-2016;9263D;-2.9(21)
01-02-2016;9263D;-4.7(17)
01-03-2016;9263D;-2.1(18)
01-04-2016;9263D;-1.5(02)
01-05-2016;9263D;3.3(02)
01-06-2016;9263D;8.1(17)
01-07-2016;9263D;0
01-08-2016;9263D;9.4(12)
01-09-2016;9263D;0
01-10-2016;9263D;0
01-11-2016;9263D;-1.1(25)
01-12-2016;9263D;-3.4(30)
01-01-2016;1690A;-1.6(16)
01-02-2016;1690A;-1.1(16)
01-03-2016;1690A;-0.6(01)
01-04-2016;1690A;0.7(01)
01-05-2016;1690A;2.0(01)
01-06-2016;1690A;8.1(01)
01-07-2016;1690A;9.8(13)
01-08-2016;1690A;9.9(20)
01-09-2016;1690A;9.5(17)
01-10-2016;1690A;6.2(03)
01-11-2016;1690A;1.5(23)
01-12-2016;1690A;-1.6(31)
01-01-2016;1484C;2.5(16)
01-02-2016;1484C;1.7(19)
01-03-2016;1484C;2.0(01)
01-04-2016;1484C;3.2(01)
01-05-2016;1484C;6.4(01)
01-06-2016;1484C;10.2(01)
01-07-2016;1484C;12.6(12)
01-08-2016;1484C;11.1(14)
01-09-2016;1484C;10.4(14)
01-10-2016;1484C;7.5(14)
01-11-2016;1484C;3.1(07)
01-12-2016;1484C;1.7(27)
01-01-2016;1495;1.3(16)
01-02-2016;1495;0
01-03-2016;1495;2.7(01)
01-04-2016;1495;0
01-05-2016;1495;4.2(01)
01-06-2016;1495;10.6(18)
01-07-2016;1495;11.2(13)
